Date,Product_Category,Region,Units_Sold,Revenue
2021-01-01,Electronics,North America,152.0,25230.424632384707
2021-01-01,Electronics,Europe,125.0,34560.47106543333
2021-01-01,Electronics,Asia Pacific,105.0,40377.52728487088
2021-01-01,Electronics,Latin America,146.0,49402.302375241256
2021-01-01,Electronics,Middle East,179.0,40535.206644105536
2021-01-01,Clothing,North America,80.0,3201.360545776929
2021-01-01,Clothing,Europe,87.0,36150.229374273076
2021-01-01,Clothing,Asia Pacific,96.0,19829.16007498328
2021-01-01,Clothing,Latin America,61.0,5869.893543280177
2021-01-01,Clothing,Middle East,57.0,12447.826228151216
2021-01-01,Home & Garden,North America,79.0,31848.438513757035
2021-01-01,Home & Garden,Europe,,
2021-01-01,Home & Garden,Asia Pacific,115.0,50236.18570212285
2021-01-01,Home & Garden,Latin America,88.0,7915.889130335963
2021-01-01,Home & Garden,Middle East,103.0,4422.533227122507
2021-01-01,Sports,North America,125.0,1452.3506900872123
2021-01-01,Sports,Europe,102.0,27041.060643047997
2021-01-01,Sports,Asia Pacific,106.0,50345.82527578585
2021-01-01,Sports,Latin America,98.0,35084.378709651755
2021-01-01,Sports,Middle East,82.0,34269.08680583624
2021-01-01,Books,North America,136.0,64465.68001270977
2021-01-01,Books,Europe,141.0,10586.436321781866
2021-01-01,Books,Asia Pacific,124.0,24997.867298315778
2021-01-01,Books,Latin America,133.0,59351.65820465519
2021-01-01,Books,Middle East,161.0,10079.725485761232
2021-01-01,Beauty,North America,113.0,15907.705230568165
2021-01-01,Beauty,Europe,137.0,19771.997454097916
2021-01-01,Beauty,Asia Pacific,133.0,22214.32372388015
2021-01-01,Beauty,Latin America,132.0,26472.286519449764
2021-01-01,Beauty,Middle East,152.0,53461.108744346646
2021-01-02,Electronics,North America,147.0,13697.910886596374
2021-01-02,Electronics,Europe,119.0,34465.28494182192
2021-01-02,Electronics,Asia Pacific,140.0,25510.457661563392
2021-01-02,Electronics,Latin America,138.0,30146.962836088733
2021-01-02,Electronics,Middle East,177.0,37702.333227466705
2021-01-02,Clothing,North America,109.0,53403.85394705763
2021-01-02,Clothing,Europe,83.0,14187.021960505272
2021-01-02,Clothing,Asia Pacific,91.0,21566.570286333666
2021-01-02,Clothing,Latin America,96.0,31532.544653927693
2021-01-02,Clothing,Middle East,114.0,35393.79249261248
2021-01-02,Home & Garden,North America,111.0,39804.187053172405
2021-01-02,Home & Garden,Europe,133.0,26861.099235803085
2021-01-02,Home & Garden,Asia Pacific,111.0,47006.373424727164
2021-01-02,Home & Garden,Latin America,106.0,2696.2404102863443
2021-01-02,Home & Garden,Middle East,101.0,39262.65773642944
2021-01-02,Sports,North America,86.0,14804.54870627729
2021-01-02,Sports,Europe,119.0,31458.450348353887
2021-01-02,Sports,Asia Pacific,102.0,28172.361056076774
2021-01-02,Sports,Latin America,95.0,33481.35277603608
2021-01-02,Sports,Middle East,95.0,16839.602012736636
2021-01-02,Books,North America,150.0,22710.34189092997
2021-01-02,Books,Europe,139.0,66818.91324356313
2021-01-02,Books,Asia Pacific,119.0,10128.845952221269
2021-01-02,Books,Latin America,125.0,56826.145632841486
2021-01-02,Books,Middle East,192.0,73872.79457820905
2021-01-02,Beauty,North America,137.0,43386.188433881776
